"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Characters/AlienSkins/Custom/Glow/M_GlowBlue.M_GlowBlue","0","3","3","1","2.043381","0","3"
"/Engine/EngineDebugMaterials/ShadedLevelColorationLitMaterial.ShadedLevelColorationLitMaterial","0","333","356","1","171.301620","0","356"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","12.114737","0","31"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","0.947640","0","5"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","6","7","1","6.034596","0","7"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","0","6","7","1","4.681447","0","7"
"/Game/Characters/AlienSkins/Custom/Glow/M_DeepBlack.M_DeepBlack","0","3","3","1","2.156652","0","3"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","2.162369","0","5"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","1.005887","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","6","1","4.857925","0","6"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","12","1","10.043504","0","12"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","12","12","1","6.757586","0","12"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","6","1","5.429039","0","6"
"/DatasmithContent/Materials/AliasReference.AliasReference","0","6","6","1","4.842644","0","6"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","4.777521","0","9"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","0.990815","0","37"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","1.631057","0","2"
